scale,field,tech_type,year,revenue,rd_cost,researchers,employees
전체,감축,비재생에너지,2019,10446545.0,197099.0,1902.0,7414.0
전체,감축,재생에너지,2019,16605228.0,1451153.0,9044.0,24425.0
전체,감축,신에너지,2019,11756352.0,98358.0,1296.0,2082.0
전체,감축,에너지저장,2019,54714293.0,2286649.0,11414.0,37022.0
전체,감축,송배전&전력IT,2019,13660758.0,190935.0,2832.0,9066.0
전체,감축,에너지수요,2019,45648146.0,2891118.0,22394.0,64433.0
전체,감축,온실가스 고정,2019,1707498.0,9010.0,104.0,465.0
전체,적응,농업&축산,2019,4301301.0,646582.0,2133.0,9822.0
전체,적응,물관리,2019,9495126.0,315267.0,3820.0,11100.0
전체,융복합,감축 및 적응 융복합,2019,1788211.0,119709.0,1582.0,4482.0
1,감축,비재생에너지,2019,140263.0,8581.0,272.0,816.0
1,감축,재생에너지,2019,1742743.0,264361.0,2652.0,6043.0
1,감축,신에너지,2019,137044.0,56356.0,601.0,753.0
1,감축,에너지저장,2019,442886.0,39397.0,584.0,1083.0
1,감축,송배전&전력IT,2019,446735.0,51398.0,1038.0,2216.0
1,감축,에너지수요,2019,2502351.0,287370.0,3676.0,9418.0
1,감축,온실가스 고정,2019,46894.0,4187.0,47.0,177.0
1,적응,농업&축산,2019,450574.0,61957.0,444.0,1516.0
1,적응,물관리,2019,968784.0,73334.0,1219.0,3281.0
1,융복합,감축 및 적응 융복합,2019,98481.0,46394.0,192.0,458.0
2,감축,비재생에너지,2019,240829.0,14939.0,112.0,839.0
2,감축,재생에너지,2019,2668879.0,81060.0,1748.0,3936.0
2,감축,신에너지,2019,226848.0,14820.0,96.0,153.0
2,감축,에너지저장,2019,1647673.0,101412.0,1004.0,2116.0
2,감축,송배전&전력IT,2019,455301.0,44182.0,514.0,1177.0
2,감축,에너지수요,2019,3510682.0,138768.0,2150.0,8248.0
2,감축,온실가스 고정,2019,66654.0,604.0,19.0,165.0
2,적응,농업&축산,2019,261322.0,4233.0,90.0,200.0
2,적응,물관리,2019,1026010.0,49511.0,760.0,1822.0
2,융복합,감축 및 적응 융복합,2019,198444.0,13997.0,35.0,220.0
3,감축,비재생에너지,2019,228645.0,19875.0,70.0,739.0
3,감축,재생에너지,2019,3303267.0,430707.0,2778.0,5772.0
3,감축,신에너지,2019,27375.0,2903.0,48.0,308.0
3,감축,에너지저장,2019,1756739.0,58708.0,707.0,3248.0
3,감축,송배전&전력IT,2019,640204.0,25037.0,804.0,2188.0
3,감축,에너지수요,2019,6925672.0,349825.0,2623.0,6801.0
3,감축,온실가스 고정,2019,142462.0,2720.0,35.0,108.0
3,적응,농업&축산,2019,239931.0,6600.0,133.0,510.0
3,적응,물관리,2019,486006.0,16639.0,164.0,558.0
3,융복합,감축 및 적응 융복합,2019,215383.0,2221.0,215.0,390.0
4,감축,비재생에너지,2019,1360490.0,35750.0,260.0,3548.0
4,감축,재생에너지,2019,8381834.0,459497.0,996.0,6066.0
4,감축,신에너지,2019,11365085.0,24189.0,550.0,864.0
4,감축,에너지저장,2019,50634424.0,1901475.0,8095.0,28732.0
4,감축,송배전&전력IT,2019,11473067.0,34615.0,324.0,2950.0
4,감축,에너지수요,2019,28652228.0,1156859.0,7993.0,23789.0
4,감축,온실가스 고정,2019,1438369.0,0.0,0.0,0.0
4,적응,농업&축산,2019,2616954.0,51333.0,434.0,4864.0
4,적응,물관리,2019,674267.0,3383.0,114.0,250.0
4,융복합,감축 및 적응 융복합,2019,1275903.0,57050.0,588.0,2022.0
5,감축,비재생에너지,2019,8476319.0,117954.0,1189.0,1472.0
5,감축,재생에너지,2019,508505.0,215528.0,869.0,2609.0
5,감축,신에너지,2019,0.0,90.0,1.0,3.0
5,감축,에너지저장,2019,232571.0,185656.0,1025.0,1843.0
5,감축,송배전&전력IT,2019,645451.0,35703.0,152.0,535.0
5,감축,에너지수요,2019,4057214.0,958296.0,5952.0,16177.0
5,감축,온실가스 고정,2019,13119.0,1500.0,3.0,15.0
5,적응,농업&축산,2019,732521.0,522459.0,1032.0,2733.0
5,적응,물관리,2019,6340060.0,172400.0,1562.0,5190.0
5,융복합,감축 및 적응 융복합,2019,0.0,47.0,553.0,1392.0
전체,감축,비재생에너지,2020,6086836.0,91636.0,3801.0,7975.0
전체,감축,재생에너지,2020,20410475.0,1423082.0,9057.0,29368.0
전체,감축,신에너지,2020,11539458.0,185296.0,2035.0,6907.0
전체,감축,에너지저장,2020,43323673.0,1897342.0,10172.0,22934.0
전체,감축,송배전&전력IT,2020,10341593.0,563519.0,3579.0,18061.0
전체,감축,에너지수요,2020,59000220.0,2028958.0,22462.0,69261.0
전체,감축,온실가스 고정,2020,1511254.0,12833.0,113.0,534.0
전체,적응,농업&축산,2020,3722596.0,597242.0,1395.0,5421.0
전체,적응,물관리,2020,10370154.0,282765.0,4030.0,14462.0
전체,적응,예측･모니터링,2020,81257.0,19374.0,45.0,180.0
전체,적응,해양수산연안,2020,59373.0,594.0,22.0,144.0
전체,적응,건강,2020,386857.0,74424.0,283.0,957.0
전체,적응,산림육상,2020,63073.0,1138.0,43.0,431.0
전체,융복합,감축 및 적응 융복합,2020,1788438.0,113292.0,1277.0,4314.0
1,감축,비재생에너지,2020,133160.0,4011.0,106.0,418.0
1,감축,재생에너지,2020,2060838.0,250806.0,1946.0,5512.0
1,감축,신에너지,2020,296519.0,16878.0,474.0,1194.0
1,감축,에너지저장,2020,419886.0,36663.0,518.0,1362.0
1,감축,송배전&전력IT,2020,842601.0,40181.0,1304.0,3675.0
1,감축,에너지수요,2020,1996698.0,260208.0,2881.0,7711.0
1,감축,온실가스 고정,2020,18872.0,644.0,5.0,72.0
1,적응,농업&축산,2020,522585.0,121874.0,477.0,1893.0
1,적응,물관리,2020,1035412.0,99652.0,1028.0,3015.0
1,적응,예측･모니터링,2020,26758.0,19374.0,41.0,120.0
