scale,field,tech_type,year,researchers
전체,감축,비재생에너지,2019,1902.0
전체,감축,재생에너지,2019,9044.0
전체,감축,신에너지,2019,1296.0
전체,감축,에너지저장,2019,11414.0
전체,감축,송배전&전력IT,2019,2832.0
전체,감축,에너지수요,2019,22394.0
전체,감축,온실가스 고정,2019,104.0
전체,적응,농업&축산,2019,2133.0
전체,적응,물관리,2019,3820.0
전체,융복합,감축 및 적응 융복합,2019,1582.0
1,감축,비재생에너지,2019,272.0
1,감축,재생에너지,2019,2652.0
1,감축,신에너지,2019,601.0
1,감축,에너지저장,2019,584.0
1,감축,송배전&전력IT,2019,1038.0
1,감축,에너지수요,2019,3676.0
1,감축,온실가스 고정,2019,47.0
1,적응,농업&축산,2019,444.0
1,적응,물관리,2019,1219.0
1,융복합,감축 및 적응 융복합,2019,192.0
2,감축,비재생에너지,2019,112.0
2,감축,재생에너지,2019,1748.0
2,감축,신에너지,2019,96.0
2,감축,에너지저장,2019,1004.0
2,감축,송배전&전력IT,2019,514.0
2,감축,에너지수요,2019,2150.0
2,감축,온실가스 고정,2019,19.0
2,적응,농업&축산,2019,90.0
2,적응,물관리,2019,760.0
2,융복합,감축 및 적응 융복합,2019,35.0
3,감축,비재생에너지,2019,70.0
3,감축,재생에너지,2019,2778.0
3,감축,신에너지,2019,48.0
3,감축,에너지저장,2019,707.0
3,감축,송배전&전력IT,2019,804.0
3,감축,에너지수요,2019,2623.0
3,감축,온실가스 고정,2019,35.0
3,적응,농업&축산,2019,133.0
3,적응,물관리,2019,164.0
3,융복합,감축 및 적응 융복합,2019,215.0
4,감축,비재생에너지,2019,260.0
4,감축,재생에너지,2019,996.0
4,감축,신에너지,2019,550.0
4,감축,에너지저장,2019,8095.0
4,감축,송배전&전력IT,2019,324.0
4,감축,에너지수요,2019,7993.0
4,적응,농업&축산,2019,434.0
4,적응,물관리,2019,114.0
4,융복합,감축 및 적응 융복합,2019,588.0
5,감축,비재생에너지,2019,1189.0
5,감축,재생에너지,2019,869.0
5,감축,신에너지,2019,1.0
5,감축,에너지저장,2019,1025.0
5,감축,송배전&전력IT,2019,152.0
5,감축,에너지수요,2019,5952.0
5,감축,온실가스 고정,2019,3.0
5,적응,농업&축산,2019,1032.0
5,적응,물관리,2019,1562.0
5,융복합,감축 및 적응 융복합,2019,553.0
전체,감축,비재생에너지,2020,3801.0
전체,감축,재생에너지,2020,9057.0
전체,감축,신에너지,2020,2035.0
전체,감축,에너지저장,2020,10172.0
전체,감축,송배전&전력IT,2020,3579.0
전체,감축,에너지수요,2020,22462.0
전체,감축,온실가스 고정,2020,113.0
전체,적응,농업&축산,2020,1395.0
전체,적응,물관리,2020,4030.0
전체,적응,예측･모니터링,2020,45.0
전체,적응,해양수산연안,2020,22.0
전체,적응,건강,2020,283.0
전체,적응,산림육상,2020,43.0
전체,융복합,감축 및 적응 융복합,2020,1277.0
1,감축,비재생에너지,2020,106.0
1,감축,재생에너지,2020,1946.0
1,감축,신에너지,2020,474.0
1,감축,에너지저장,2020,518.0
1,감축,송배전&전력IT,2020,1304.0
1,감축,에너지수요,2020,2881.0
1,감축,온실가스 고정,2020,5.0
1,적응,농업&축산,2020,477.0
1,적응,물관리,2020,1028.0
1,적응,예측･모니터링,2020,41.0
1,적응,해양수산연안,2020,11.0
1,적응,건강,2020,89.0
1,적응,산림육상,2020,26.0
1,융복합,감축 및 적응 융복합,2020,266.0
2,감축,비재생에너지,2020,9.0
2,감축,재생에너지,2020,1321.0
2,감축,신에너지,2020,144.0
2,감축,에너지저장,2020,426.0
2,감축,송배전&전력IT,2020,554.0
2,감축,에너지수요,2020,2622.0
2,감축,온실가스 고정,2020,9.0
2,적응,농업&축산,2020,103.0
2,적응,물관리,2020,926.0
2,적응,예측･모니터링,2020,1.0
2,적응,해양수산연안,2020,3.0
2,적응,건강,2020,150.0
2,적응,산림육상,2020,17.0
2,융복합,감축 및 적응 융복합,2020,87.0
3,감축,비재생에너지,2020,10.0
3,감축,재생에너지,2020,798.0
3,감축,신에너지,2020,115.0
3,감축,에너지저장,2020,282.0
3,감축,송배전&전력IT,2020,279.0
3,감축,에너지수요,2020,796.0
3,적응,농업&축산,2020,40.0
3,적응,물관리,2020,226.0
3,적응,해양수산연안,2020,8.0
3,적응,건강,2020,31.0
3,융복합,감축 및 적응 융복합,2020,34.0
4,감축,비재생에너지,2020,8.0
4,감축,재생에너지,2020,335.0
4,감축,신에너지,2020,39.0
4,감축,에너지저장,2020,363.0
4,감축,송배전&전력IT,2020,713.0
4,감축,에너지수요,2020,1698.0
4,감축,온실가스 고정,2020,6.0
4,적응,농업&축산,2020,101.0
4,적응,물관리,2020,253.0
4,적응,건강,2020,2.0
4,융복합,감축 및 적응 융복합,2020,81.0
5,감축,비재생에너지,2020,556.0
5,감축,재생에너지,2020,3674.0
5,감축,신에너지,2020,1208.0
5,감축,에너지저장,2020,8097.0
5,감축,송배전&전력IT,2020,516.0
5,감축,에너지수요,2020,12125.0
5,감축,온실가스 고정,2020,86.0
5,적응,농업&축산,2020,236.0
5,적응,물관리,2020,1498.0
5,적응,건강,2020,11.0
5,융복합,감축 및 적응 융복합,2020,279.0
6,감축,비재생에너지,2020,3112.0
6,감축,재생에너지,2020,983.0
6,감축,신에너지,2020,55.0
6,감축,에너지저장,2020,485.0
6,감축,송배전&전력IT,2020,212.0
6,감축,에너지수요,2020,2339.0
6,감축,온실가스 고정,2020,6.0
6,적응,농업&축산,2020,439.0
6,적응,물관리,2020,99.0
6,적응,예측･모니터링,2020,3.0
6,적응,해양수산연안,2020,0.0
6,적응,산림육상,2020,0.0
6,융복합,감축 및 적응 융복합,2020,530.0
전체,감축,비재생에너지,2021,4189.0
전체,감축,재생에너지,2021,10979.0
전체,감축,신에너지,2021,2583.0
전체,감축,에너지저장,2021,11093.0
전체,감축,송배전&전력IT,2021,5446.0
전체,감축,에너지수요,2021,23721.0
전체,감축,온실가스 고정,2021,1577.0
전체,적응,농업&축산,2021,3060.0
전체,적응,물관리,2021,6390.0
전체,적응,예측･모니터링,2021,2064.0
전체,적응,해양수산연안,2021,880.0
전체,적응,건강,2021,2539.0
전체,적응,산림육상,2021,451.0
전체,융복합,감축 및 적응 융복합,2021,2143.0
1,감축,비재생에너지,2021,45.0
1,감축,재생에너지,2021,2288.0
