scale,field,tech_type,year,revenue
전체,감축,비재생에너지,2019,10446545.0
전체,감축,재생에너지,2019,16605228.0
전체,감축,신에너지,2019,11756352.0
전체,감축,에너지저장,2019,54714293.0
전체,감축,송배전&전력IT,2019,13660758.0
전체,감축,에너지수요,2019,45648146.0
전체,감축,온실가스 고정,2019,1707498.0
전체,적응,농업&축산,2019,4301301.0
전체,적응,물관리,2019,9495126.0
전체,융복합,감축 및 적응 융복합,2019,1788211.0
1,감축,비재생에너지,2019,140263.0
1,감축,재생에너지,2019,1742743.0
1,감축,신에너지,2019,137044.0
1,감축,에너지저장,2019,442886.0
1,감축,송배전&전력IT,2019,446735.0
1,감축,에너지수요,2019,2502351.0
1,감축,온실가스 고정,2019,46894.0
1,적응,농업&축산,2019,450574.0
1,적응,물관리,2019,968784.0
1,융복합,감축 및 적응 융복합,2019,98481.0
2,감축,비재생에너지,2019,240829.0
2,감축,재생에너지,2019,2668879.0
2,감축,신에너지,2019,226848.0
2,감축,에너지저장,2019,1647673.0
2,감축,송배전&전력IT,2019,455301.0
2,감축,에너지수요,2019,3510682.0
2,감축,온실가스 고정,2019,66654.0
2,적응,농업&축산,2019,261322.0
2,적응,물관리,2019,1026010.0
2,융복합,감축 및 적응 융복합,2019,198444.0
3,감축,비재생에너지,2019,228645.0
3,감축,재생에너지,2019,3303267.0
3,감축,신에너지,2019,27375.0
3,감축,에너지저장,2019,1756739.0
3,감축,송배전&전력IT,2019,640204.0
3,감축,에너지수요,2019,6925672.0
3,감축,온실가스 고정,2019,142462.0
3,적응,농업&축산,2019,239931.0
3,적응,물관리,2019,486006.0
3,융복합,감축 및 적응 융복합,2019,215383.0
4,감축,비재생에너지,2019,1360490.0
4,감축,재생에너지,2019,8381834.0
4,감축,신에너지,2019,11365085.0
4,감축,에너지저장,2019,50634424.0
4,감축,송배전&전력IT,2019,11473067.0
4,감축,에너지수요,2019,28652228.0
4,감축,온실가스 고정,2019,1438369.0
4,적응,농업&축산,2019,2616954.0
4,적응,물관리,2019,674267.0
4,융복합,감축 및 적응 융복합,2019,1275903.0
5,감축,비재생에너지,2019,8476319.0
5,감축,재생에너지,2019,508505.0
5,감축,신에너지,2019,0.0
5,감축,에너지저장,2019,232571.0
5,감축,송배전&전력IT,2019,645451.0
5,감축,에너지수요,2019,4057214.0
5,감축,온실가스 고정,2019,13119.0
5,적응,농업&축산,2019,732521.0
5,적응,물관리,2019,6340060.0
5,융복합,감축 및 적응 융복합,2019,0.0
전체,감축,비재생에너지,2020,6086836.0
전체,감축,재생에너지,2020,20410475.0
전체,감축,신에너지,2020,11539458.0
전체,감축,에너지저장,2020,43323673.0
